K,code,quadrant,L3,L5,L7,L10,L14,L21,L28,L42,L56,L84,L112,L168,L252,SP,WI,DY,GR
0.25,22120,smooth,1.4907189076851464,1.2528971999379368,1.2149489616409195,1.3971453047113513,1.5919488108532192,2.3661988605694497,2.7190770481449804,4.123061340000044,5.871407592270051,8.438602088737461,11.19102397961524,17.141991752568316,23.497801559013663,1.0718776565405805,1.3552929761340216,1.098663234243231,1.092244922934373
0.25,23078,smooth,1.2952229165792892,1.1993037788868846,1.3561212934613929,1.5292958100910132,1.8551776202659056,3.0859371723357,3.3937843392190565,5.536216080191248,6.597324162227908,11.909281550140486,12.344503627899178,18.820450446671966,35.282263138027936,1.0808623075955202,1.2477876106194683,1.1607180304491882,1.0767101455353774
0.25,22487,smooth,1.3482395744411193,1.2036300739210997,1.2606138097883024,1.4434505459276297,1.8952899995899475,2.616472140729664,3.41353020774699,4.879200325058986,6.9074237956601605,9.019918064258784,12.358449856295575,17.319491237945392,25.71424928893338,1.0906474712870775,1.2299181015362024,1.16539463727219,1.042339679190634
0.25,21495,smooth,1.8132701559605564,1.3264522335204336,1.2315165598297069,1.1783545210146347,1.2573306792698353,1.444944941913088,1.8940454397317255,2.660867869072134,3.395482922845988,5.012178323021158,6.7480715434073995,9.93600080445746,15.565819522874314,1.0782867963571658,1.199519990889279,1.2745974380937317,1.106946805249812
0.25,21519,smooth,2.40653038536422,1.6188023563889622,1.4548870575551152,1.234793333123316,1.2218139978972808,1.3489402344082382,1.488284740441265,2.0089520169418846,2.573454028245696,4.018431333178073,5.1816936170287935,7.754892386487124,11.610490105704228,1.085518759754374,1.25799626856993,1.278990494186313,1.1547554241020235
0.25,84970S,smooth,1.3936394211014902,1.2925951514967058,1.269584087900047,1.6619932735767233,1.929187502853405,2.7865788072012285,3.776293162484209,5.702214241146843,7.350114897049209,11.363897673144535,14.184550531874448,21.85191216082542,33.66622757224822,1.0784495746526466,1.376057585487971,1.169371946858212,1.0502138150385787
0.25,23145,smooth,1.8065834558609208,1.4292135995906385,1.2400817426337702,1.2136319767856099,1.320911087073393,1.421359959063911,2.1533937442919417,2.6602596073503584,3.4556892743559993,4.858809355710004,6.2704534708233215,8.441468517426987,14.86261472792397,1.1005784165765244,1.1063010486634235,1.311214674810704,1.116489730352944
0.25,23240,smooth,1.2998247393598183,1.535104646207588,1.6026670227898867,2.538800424947032,3.594582225450007,5.117159037026815,6.952814673877166,9.79888841539172,13.073631976663917,19.56357999867956,24.630747738717616,37.805414173303916,44.508081796301475,1.094094556716624,1.4775852444945947,1.0749029164090773,1.0361670137867702
0.25,21930,smooth,1.4458240383708227,1.3431522628985675,1.5732408554307455,1.7955219837910057,2.1975166091976783,3.2119592310009963,4.261980686767121,6.40261060371352,8.66024353055392,13.47425399366369,17.109395190865047,27.14495028653343,39.53263802448706,1.0739904377280634,1.4727219606613866,1.149999847831446,1.0414622789371335
0.25,23147,smooth,1.682108545980733,1.2745787797497123,1.1292429268034834,1.10855655253525,1.3177778071438957,1.5907179575277846,2.0941022557583273,3.0144648685792816,4.090058541355566,5.568910972209372,7.16221902131539,9.909912386187946,14.353925442363849,1.0930715050282134,1.1071742893766603,1.203961782934468,1.0787334980772536
