code,quadrant,name,side,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
22554,smooth,EX,SAP,442.9715236806495,0.5388011152416357,0.82409381663113,1.0,0.4590255228175431,250.18779342723005,438,5498.806495263871,639
22554,smooth,FX,SAP,161.71970015014773,0.03961431226765799,0.6686274509803921,1.0,12.531129351861487,14.85133020344288,26,150114.21380243613,639
22554,smooth,HB,SAP,200.20546554952082,0.053322490706319704,1.0,0.8975852564917769,16.638542497627277,11.424100156494523,20,199318.16644113668,639
22554,smooth,TB,SAP,442.9715236806495,0.54182156133829,0.8287135749822317,1.0,0.4590255228175431,250.18779342723005,438,5498.806495263871,639
22554,smooth,WB,SAP,122.66327710530706,0.12697490706319703,0.9724199288256228,1.0,3.3851553412030175,49.123630672926446,86,40551.80649526387,639
22554,smooth,MB,SAP,181.43017093574016,0.040892193308550186,0.9915492957746479,1.0,13.889361148992652,17.70735524256651,31,166384.88603498533,639
22554,smooth,SP,SAP,110.29832769292742,0.1191914498141264,0.9922630560928434,1.0,4.644092565818302,34.27230046948357,60,55632.99881187426,639
22554,smooth,WI,SAP,134.61462290994155,0.12662639405204462,0.9954337899543378,1.0,7.166232154981452,32.55868544600939,57,85846.47685493536,639
22554,smooth,DY,SAP,136.61064017405948,0.06064126394052045,0.9980879541108987,1.0,9.75113112901022,17.70735524256651,31,116811.76867736882,639
22554,smooth,GR,SAP,109.16081913601872,0.12523234200743494,0.9935483870967742,1.0,3.5234248251168214,40.55555555555556,71,42208.178741354044,639
22554,smooth,Per period 3d,F&O,182.85067436558103,0.23884758364312267,0.9496535796766744,1.0,1.4635078810930806,95.39123630672927,167,17531.80649526387,639
22554,smooth,Per period 5d,F&O,139.2697206055927,0.1733271375464684,0.9738903394255874,1.0,2.794832171996782,62.26134585289515,109,33480.1455183071,639
22554,smooth,Per period 7d,F&O,127.02367751203458,0.13638475836431227,0.9678483099752679,1.0,3.7877552693060306,49.123630672926446,86,45374.67361179582,639
22554,smooth,Per period 10d,F&O,130.06416105272763,0.11047862453531598,0.9875389408099688,0.9999864028827522,6.099766995934074,36.557120500782474,64,73070.96601286542,639
22554,smooth,Per period 14d,F&O,136.2279850232615,0.08178438661710037,0.9805013927576601,0.9999981658507254,8.238504954663595,26.84663536776213,47,98691.55919239532,639
22554,smooth,Per period 21d,F&O,154.877719041275,0.056342936802973975,1.0,1.0,11.530078895992386,17.136150234741784,30,138122.32560625867,639
22554,smooth,Per period 28d,F&O,198.75809098386412,0.04937267657992565,0.9953161592505855,1.0,16.320243116190618,12.566510172143975,22,195505.1612397285,639
22554,smooth,Per period 42d,F&O,261.8366034717561,0.02973977695167286,1.0,1.0,22.790659008653517,8.568075117370892,15,273016.2432339121,639
22554,smooth,Per period 56d,F&O,317.31427777523146,0.023350371747211895,1.0,1.0,28.28228940144234,6.283255086071987,11,338802.15572108934,639
22554,smooth,Per period 84d,F&O,549.9927287057503,0.01754182156133829,1.0,1.0,50.04270554434123,4.569640062597809,8,599476.8059927238,639
22554,smooth,Per period 112d,F&O,617.0313599448326,0.014056691449814127,1.0,1.0,56.417108209358204,3.427230046948357,6,675837.7163026179,639
22554,smooth,Per requirement,F&O,442.9715236806495,0.5338057620817844,0.816598542740359,1.0,0.4590255228175431,250.18779342723005,438,5498.806495263871,639
