L,cost_floating,cost_anchored,cost_pct,fill_floating,fill_anchored,fill_pct,cover_days_floating,cover_days_anchored,cover_days_pct,orders_per_year_floating,orders_per_year_anchored,orders_per_year_pct
7,47.38718783596844,48.176290303445974,2.3518959564836512,1.0,1.0,0.0,2.822866126503804,2.371147484868296,-12.733965599160365,17.70735524256651,19.992175273865413,6.451612903225809
14,37.74663025742365,45.04588833084874,7.084346158944656,1.0,0.9999376648761147,-0.001136053197248188,6.726162619153332,5.877496380415122,-15.567922336656673,11.424100156494523,14.280125195618153,29.999999999999993
28,38.798999496558025,41.23219295780261,0.6094017562325811,1.0,0.9999768745442058,0.0,14.422746824212888,11.716063293373743,-17.15300445635836,6.854460093896714,9.139280125195619,33.33333333333333
56,50.178992837924156,50.779563948479804,-0.6284282284427486,1.0,1.0,0.0,28.610343370774146,25.660237602044177,-10.894889791493318,4.569640062597809,5.712050078247262,25.0
