tolerance,config,who,code,quadrant,PCR,order_churn
absolute,Calendar bucket 28d,SAP only,22027,smooth,0.04379646840148699,0.989501312335958
absolute,Short 7d / long 28d,SAP only,22027,smooth,0.07736988847583644,1.0
absolute,Short 7d / long 56d,SAP only,22027,smooth,0.04472583643122677,1.0
absolute,Per requirement,Both,23000,smooth,0.1654275092936803,0.678741658722593
absolute,Per period 7d,Both,23000,smooth,0.057272304832713755,0.9591439688715954
absolute,Per period 14d,Both,23000,smooth,0.037058550185873604,0.9876160990712074
absolute,Per period 28d,Both,23000,smooth,0.020678438661710038,0.994413407821229
absolute,Per period 56d,Both,23000,smooth,0.013011152416356878,1.0
absolute,Min/Max,Both,23000,smooth,0.04611988847583643,1.0
absolute,SP Part Period Balancing,SAP only,23000,smooth,0.026719330855018587,1.0
absolute,WI Sliding Economic Lot Size,SAP only,23000,smooth,0.026022304832713755,1.0
absolute,DY Dynamic Planning Calculation,SAP only,23000,smooth,0.00871282527881041,1.0
absolute,GR Groff Reorder Procedure,SAP only,23000,smooth,0.03229553903345725,0.9928571428571429
absolute,Calendar bucket 7d,SAP only,23000,smooth,0.06273234200743494,0.9557522123893806
absolute,Calendar bucket 28d,SAP only,23000,smooth,0.021259293680297397,0.9838709677419355
absolute,Short 7d / long 28d,SAP only,23000,smooth,0.036013011152416355,1.0
absolute,Short 7d / long 56d,SAP only,23000,smooth,0.021723977695167287,1.0
absolute,Per requirement,Both,23109,smooth,0.13673327137546468,0.7574002574002574
absolute,Per period 7d,Both,23109,smooth,0.042518587360594794,0.9104477611940298
absolute,Per period 14d,Both,23109,smooth,0.02683550185873606,0.9625
absolute,Per period 28d,Both,23109,smooth,0.016612453531598514,1.0
absolute,Per period 56d,Both,23109,smooth,0.009758364312267658,0.9882352941176471
absolute,Min/Max,Both,23109,smooth,0.04077602230483272,0.9971590909090909
absolute,SP Part Period Balancing,SAP only,23109,smooth,0.04275092936802974,0.9945945945945946
absolute,WI Sliding Economic Lot Size,SAP only,23109,smooth,0.037523234200743494,0.99079754601227
absolute,DY Dynamic Planning Calculation,SAP only,23109,smooth,0.01974907063197026,0.9941520467836257
absolute,GR Groff Reorder Procedure,SAP only,23109,smooth,0.04112453531598513,0.9915966386554622
absolute,Calendar bucket 7d,SAP only,23109,smooth,0.04077602230483272,0.9
absolute,Calendar bucket 28d,SAP only,23109,smooth,0.014986059479553903,0.9847328244274809
absolute,Short 7d / long 28d,SAP only,23109,smooth,0.025441449814126393,1.0
absolute,Short 7d / long 56d,SAP only,23109,smooth,0.015102230483271376,0.9923664122137404
absolute,Per requirement,Both,21224,smooth,0.19934944237918215,0.6325101363803907
absolute,Per period 7d,Both,21224,smooth,0.1008364312267658,0.875
absolute,Per period 14d,Both,21224,smooth,0.06854089219330856,0.9175738724727839
absolute,Per period 28d,Both,21224,smooth,0.04031133828996283,0.961218836565097
absolute,Per period 56d,Both,21224,smooth,0.02184014869888476,0.9894736842105263
absolute,Min/Max,Both,21224,smooth,0.04774628252788104,0.9951573849878934
absolute,SP Part Period Balancing,SAP only,21224,smooth,0.04065985130111524,0.9887005649717514
absolute,WI Sliding Economic Lot Size,SAP only,21224,smooth,0.04507434944237918,0.9897959183673469
absolute,DY Dynamic Planning Calculation,SAP only,21224,smooth,0.01696096654275093,0.9931972789115646
absolute,GR Groff Reorder Procedure,SAP only,21224,smooth,0.062151486988847586,0.9605026929982047
absolute,Calendar bucket 7d,SAP only,21224,smooth,0.1112918215613383,0.8352223190932868
absolute,Calendar bucket 28d,SAP only,21224,smooth,0.03891728624535316,0.9571428571428572
absolute,Short 7d / long 28d,SAP only,21224,smooth,0.07423327137546469,0.9968798751950078
absolute,Short 7d / long 56d,SAP only,21224,smooth,0.043447955390334574,0.9973333333333333
absolute,Per requirement,Both,22411,smooth,0.6818076208178439,0.8733630952380952
absolute,Per period 7d,Both,22411,smooth,0.14614312267657992,0.9874411302982732
absolute,Per period 14d,Both,22411,smooth,0.09096189591078067,0.9987244897959183
absolute,Per period 28d,Both,22411,smooth,0.05343866171003717,1.0
absolute,Per period 56d,Both,22411,smooth,0.02683550185873606,0.9956896551724138
absolute,Min/Max,Both,22411,smooth,0.05611059479553903,1.0
absolute,SP Part Period Balancing,SAP only,22411,smooth,0.18134293680297398,0.9968071519795658
absolute,WI Sliding Economic Lot Size,SAP only,22411,smooth,0.1829693308550186,0.9936908517350158
absolute,DY Dynamic Planning Calculation,SAP only,22411,smooth,0.10838754646840149,0.9989293361884368
absolute,GR Groff Reorder Procedure,SAP only,22411,smooth,0.18657063197026022,0.9919703520691785
absolute,Calendar bucket 7d,SAP only,22411,smooth,0.1399860594795539,0.986088379705401
absolute,Calendar bucket 28d,SAP only,22411,smooth,0.04368029739776952,0.9973474801061007
absolute,Short 7d / long 28d,SAP only,22411,smooth,0.07736988847583644,1.0
absolute,Short 7d / long 56d,SAP only,22411,smooth,0.04495817843866171,1.0
absolute,Per requirement,Both,23322,smooth,0.17774163568773235,0.8346972176759411
absolute,Per period 7d,Both,23322,smooth,0.04611988847583643,0.9851116625310173
absolute,Per period 14d,Both,23322,smooth,0.025673791821561338,0.9866071428571429
absolute,Per period 28d,Both,23322,smooth,0.015799256505576207,0.9927007299270073
absolute,Per period 56d,Both,23322,smooth,0.009061338289962825,1.0
absolute,Min/Max,Both,23322,smooth,0.04716542750929368,0.9926650366748166
absolute,SP Part Period Balancing,SAP only,23322,smooth,0.04553903345724907,0.9924050632911392
absolute,WI Sliding Economic Lot Size,SAP only,23322,smooth,0.04879182156133829,0.9813084112149533
absolute,DY Dynamic Planning Calculation,SAP only,23322,smooth,0.01963289962825279,1.0
absolute,GR Groff Reorder Procedure,SAP only,23322,smooth,0.047281598513011155,1.0
absolute,Calendar bucket 7d,SAP only,23322,smooth,0.03822026022304833,0.9619883040935673
absolute,Calendar bucket 28d,SAP only,23322,smooth,0.013475836431226766,0.9830508474576272
absolute,Short 7d / long 28d,SAP only,23322,smooth,0.022653345724907063,1.0
absolute,Short 7d / long 56d,SAP only,23322,smooth,0.013475836431226766,1.0
absolute,Per requirement,Both,21652,smooth,0.06401022304832714,0.7621023513139695
absolute,Per period 7d,Both,21652,smooth,0.02753252788104089,0.9294117647058824
absolute,Per period 14d,Both,21652,smooth,0.01742565055762082,0.9803921568627451
absolute,Per period 28d,Both,21652,smooth,0.01266263940520446,0.9819819819819819
absolute,Per period 56d,Both,21652,smooth,0.006970260223048327,1.0
absolute,Min/Max,Both,21652,smooth,0.03055297397769517,0.9924528301886792
absolute,SP Part Period Balancing,SAP only,21652,smooth,0.020097583643122675,0.9942528735632183
absolute,WI Sliding Economic Lot Size,SAP only,21652,smooth,0.016612453531598514,0.9794520547945206
absolute,DY Dynamic Planning Calculation,SAP only,21652,smooth,0.009061338289962825,0.9873417721518988
absolute,GR Groff Reorder Procedure,SAP only,21652,smooth,0.02462825278810409,0.9724770642201835
absolute,Calendar bucket 7d,SAP only,21652,smooth,0.03403810408921933,0.9331210191082803
absolute,Calendar bucket 28d,SAP only,21652,smooth,0.011152416356877323,0.9696969696969697
absolute,Short 7d / long 28d,SAP only,21652,smooth,0.020446096654275093,0.9943502824858758
absolute,Short 7d / long 56d,SAP only,21652,smooth,0.012197955390334572,1.0
absolute,Per requirement,Both,22993,smooth,0.3215613382899628,0.8981181051265412
absolute,Per period 7d,Both,22993,smooth,0.06191914498141264,0.9925512104283054
absolute,Per period 14d,Both,22993,smooth,0.04019516728624535,0.9914040114613181
absolute,Per period 28d,Both,22993,smooth,0.021143122676579924,0.994535519125683
absolute,Per period 56d,Both,22993,smooth,0.012430297397769517,1.0
absolute,Min/Max,Both,22993,smooth,0.05552973977695167,0.9958333333333333
absolute,SP Part Period Balancing,SAP only,22993,smooth,0.07725371747211895,1.0
absolute,WI Sliding Economic Lot Size,SAP only,22993,smooth,0.0745817843866171,0.9984447900466563
absolute,DY Dynamic Planning Calculation,SAP only,22993,smooth,0.036942379182156135,0.9968652037617555
absolute,GR Groff Reorder Procedure,SAP only,22993,smooth,0.07260687732342007,0.9968102073365231
absolute,Calendar bucket 7d,SAP only,22993,smooth,0.06366171003717472,0.982078853046595
absolute,Calendar bucket 28d,SAP only,22993,smooth,0.020910780669144983,0.994475138121547
absolute,Short 7d / long 28d,SAP only,22993,smooth,0.03554832713754647,1.0
absolute,Short 7d / long 56d,SAP only,22993,smooth,0.021143122676579924,1.0
absolute,Per requirement,Both,21274,smooth,0.03078531598513011,0.31698564593301437
absolute,Per period 7d,Both,21274,smooth,0.022653345724907063,0.5619596541786743
absolute,Per period 14d,Both,21274,smooth,0.0191682156133829,0.7205240174672489
absolute,Per period 28d,Both,21274,smooth,0.014986059479553903,0.8657718120805369
absolute,Per period 56d,Both,21274,smooth,0.008596654275092937,0.8809523809523809
absolute,Min/Max,Both,21274,smooth,0.031598513011152414,0.9251700680272109
absolute,SP Part Period Balancing,SAP only,21274,smooth,0.018006505576208177,0.8611111111111112
absolute,WI Sliding Economic Lot Size,SAP only,21274,smooth,0.018006505576208177,0.8659217877094972
absolute,DY Dynamic Planning Calculation,SAP only,21274,smooth,0.00987453531598513,0.9444444444444444
absolute,GR Groff Reorder Procedure,SAP only,21274,smooth,0.026719330855018587,0.8273381294964028
absolute,Calendar bucket 7d,SAP only,21274,smooth,0.022304832713754646,0.463768115942029
absolute,Calendar bucket 28d,SAP only,21274,smooth,0.012778810408921933,0.7189542483660131
absolute,Short 7d / long 28d,SAP only,21274,smooth,0.027881040892193308,0.9795918367346939
absolute,Short 7d / long 56d,SAP only,21274,smooth,0.016612453531598514,0.9794520547945206
absolute,Per requirement,Both,22382,smooth,0.6868029739776952,0.8847650404070637
absolute,Per period 7d,Both,22382,smooth,0.14300650557620817,0.9800955414012739
absolute,Per period 14d,Both,22382,smooth,0.09223977695167286,0.9900249376558603
absolute,Per period 28d,Both,22382,smooth,0.050766728624535316,0.9931818181818182
absolute,Per period 56d,Both,22382,smooth,0.02474442379182156,1.0
absolute,Min/Max,Both,22382,smooth,0.05808550185873606,1.0
absolute,SP Part Period Balancing,SAP only,22382,smooth,0.164614312267658,0.9950842696629213
absolute,WI Sliding Economic Lot Size,SAP only,22382,smooth,0.1570631970260223,0.9970501474926253
absolute,DY Dynamic Planning Calculation,SAP only,22382,smooth,0.07655669144981413,0.9939668174962293
absolute,GR Groff Reorder Procedure,SAP only,22382,smooth,0.16507899628252787,0.9937062937062937
absolute,Calendar bucket 7d,SAP only,22382,smooth,0.14010223048327136,0.9860997547015535
absolute,Calendar bucket 28d,SAP only,22382,smooth,0.04414498141263941,0.9895833333333334
absolute,Short 7d / long 28d,SAP only,22382,smooth,0.07760223048327138,1.0
absolute,Short 7d / long 56d,SAP only,22382,smooth,0.04484200743494424,1.0
absolute,Per requirement,Both,23202,smooth,0.24477230483271376,0.8992744344857021
absolute,Per period 7d,Both,23202,smooth,0.05425185873605948,0.9957356076759062
absolute,Per period 14d,Both,23202,smooth,0.03287639405204461,1.0
absolute,Per period 28d,Both,23202,smooth,0.017890334572490705,0.9935483870967742
absolute,Per period 56d,Both,23202,smooth,0.009990706319702601,1.0
absolute,Min/Max,Both,23202,smooth,0.049837360594795536,0.9976744186046511
absolute,SP Part Period Balancing,SAP only,23202,smooth,0.0674953531598513,0.9982817869415808
absolute,WI Sliding Economic Lot Size,SAP only,23202,smooth,0.07074814126394052,0.9934747145187602
absolute,DY Dynamic Planning Calculation,SAP only,23202,smooth,0.04519052044609666,0.9974358974358974
absolute,GR Groff Reorder Procedure,SAP only,23202,smooth,0.06726301115241635,0.9931389365351629
absolute,Calendar bucket 7d,SAP only,23202,smooth,0.04890799256505576,0.9905882352941177
absolute,Calendar bucket 28d,SAP only,23202,smooth,0.01696096654275093,0.9931972789115646
absolute,Short 7d / long 28d,SAP only,23202,smooth,0.02730018587360595,1.0
absolute,Short 7d / long 56d,SAP only,23202,smooth,0.016728624535315983,1.0
absolute,Per requirement,Both,23204,smooth,0.2379182156133829,0.8707482993197279
absolute,Per period 7d,Both,23204,smooth,0.05483271375464684,0.989517819706499
absolute,Per period 14d,Both,23204,smooth,0.031482342007434945,0.9963235294117647
absolute,Per period 28d,Both,23204,smooth,0.018238847583643122,0.9936708860759493
absolute,Per period 56d,Both,23204,smooth,0.010339219330855019,1.0
absolute,Min/Max,Both,23204,smooth,0.04995353159851301,0.9976798143851509
absolute,SP Part Period Balancing,SAP only,23204,smooth,0.046236059479553906,1.0
absolute,WI Sliding Economic Lot Size,SAP only,23204,smooth,0.04611988847583643,0.9974874371859297
absolute,DY Dynamic Planning Calculation,SAP only,23204,smooth,0.019981412639405203,0.9942196531791907
absolute,GR Groff Reorder Procedure,SAP only,23204,smooth,0.047397769516728624,0.9902912621359223
absolute,Calendar bucket 7d,SAP only,23204,smooth,0.05204460966542751,0.9846153846153847
absolute,Calendar bucket 28d,SAP only,23204,smooth,0.016728624535315983,0.9863013698630136
absolute,Short 7d / long 28d,SAP only,23204,smooth,0.029158921933085502,1.0
absolute,Short 7d / long 56d,SAP only,23204,smooth,0.017309479553903346,1.0
absolute,Per requirement,Both,47568,smooth,0.15694702602230484,0.8173018753781004
absolute,Per period 7d,Both,47568,smooth,0.03787174721189591,0.9588235294117647
absolute,Per period 14d,Both,47568,smooth,0.022653345724907063,0.9898477157360406
absolute,Per period 28d,Both,47568,smooth,0.013011152416356878,0.9824561403508771
