code,quadrant,config,L,anchoring,placement,anchor,rhythm,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
22554,smooth,floating 7d first,7,floating,first,0,0.2039844088349935,125.56406492143708,0.1399860594795539,0.9678714859437751,1.0,3.652987846771587,49.123630672926446,86,43760.25362522586,639
22554,smooth,anchored 7d first a0,7,anchored,first,0,0.2039844088349935,122.66327710530706,0.12604553903345725,0.9644444444444444,1.0,3.3851553412030175,49.123630672926446,86,40551.80649526387,639
22554,smooth,anchored 7d start a0,7,anchored,start,0,0.2039844088349935,124.16508020835263,0.1258131970260223,0.9686940966010733,1.0,3.523818253989232,49.123630672926446,86,42212.891745602166,639
22554,smooth,anchored 7d end a0,7,anchored,end,0,0.2039844088349935,157.17721938198602,0.11175650557620818,0.9756592292089249,0.7682587970861017,8.880134390546798,34.84350547730829,61,106377.83355886332,639
22554,smooth,floating 14d first,14,floating,first,0,0.2039844088349935,131.68560119983403,0.08120353159851301,0.9858956276445698,1.0,8.003764231554094,25.704225352112676,45,95879.5285998164,639
22554,smooth,anchored 14d first a0,14,anchored,first,0,0.2039844088349935,133.6599716194877,0.06726301115241635,0.9698492462311558,0.9999899919704487,7.170419244583287,31.987480438184665,56,85896.63527610005,639
22554,smooth,anchored 14d start a0,14,anchored,start,0,0.2039844088349935,147.64308827906507,0.06447490706319703,0.9702797202797203,0.9999845651772874,7.538184204493303,37.69953051643193,66,90302.20370260229,639
22554,smooth,anchored 14d end a0,14,anchored,end,0,0.2039844088349935,223.56344619719357,0.052393122676579924,0.9636752136752137,0.728781768815443,16.579264238527745,25.13302034428795,44,198608.05412719894,639
22554,smooth,floating 28d first,28,floating,first,0,0.2039844088349935,206.53327185062554,0.04716542750929368,0.9975429975429976,1.0,16.945802027164618,13.137715179968701,23,202998.92189538886,639
22554,smooth,anchored 28d first a0,28,anchored,first,0,0.2039844088349935,179.01842549271123,0.04054368029739777,0.9886685552407932,0.9999842778548189,13.38968953101149,19.420970266040687,34,160399.16759042302,639
22554,smooth,anchored 28d start a0,28,anchored,start,0,0.2039844088349935,213.68825460238295,0.03427044609665428,0.9866220735785953,0.9999986781523039,16.036802195360163,22.848200312989047,40,192109.73615112054,639
22554,smooth,anchored 28d end a0,28,anchored,end,0,0.2039844088349935,160.69048302964018,0.03125,0.992619926199262,0.619666567234213,10.58948167938707,26.275430359937403,46,126854.62516914749,639
22554,smooth,floating 56d first,56,floating,first,0,0.2039844088349935,329.103635722615,0.02578996282527881,1.0,1.0,29.278481110624003,6.854460093896714,12,350735.8395113772,639
22554,smooth,anchored 56d first a0,56,anchored,first,0,0.2039844088349935,319.59863230482387,0.026603159851301114,1.0,1.0,27.93922031151785,9.710485133020343,17,334692.42664018396,639
22554,smooth,anchored 56d start a0,56,anchored,start,0,0.2039844088349935,383.6649500091641,0.01812267657992565,1.0,1.0,33.30053880348609,13.137715179968701,23,398917.2931919542,639
22554,smooth,anchored 56d end a0,56,anchored,end,0,0.2039844088349935,117.88023600941665,0.01638011152416357,0.9724137931034482,0.43716308465647846,8.021735049147683,17.70735524256651,31,96094.80649526387,639
